Book_ID,Publisher_ID,Title,Author,Category,Stock_Status,Book_Length,Edition,ISBN,Wished_Count
B00001,P0001,Job research hold military when,Karen Moore,Children,In Stock,57,3,978-0-376-21618-2,304
B00002,P0002,Concern month free,Meghan Lawrence,Travel,Out of Stock,769,4,978-0-630-18814-9,279
B00003,P0003,Third event say,Jennifer Blackwell,Cookbook,Out of Stock,396,5,978-1-5139-9579-3,861
B00004,P0004,Discover view green data country major,Robin Peterson,Non-Fiction,Out of Stock,573,1,978-0-7139-5978-9,425
B00005,P0005,Rather recent address others citizen,Brianna Singh,Travel,In Stock,245,2,978-0-7517-1581-1,14
B00006,P0006,Play free half,Luis Bowen,Fantasy,Out of Stock,784,5,978-0-86618-130-3,782
B00007,P0007,Wife point story similar course improve over,Sarah White,Romance,Out of Stock,269,5,978-0-9551340-2-9,517
B00008,P0008,Reflect benefit teach already skill light,Micheal Martin,Philosophy,In Stock,505,4,978-0-87200-772-7,248
B00009,P0009,Strong cover significant activity talk cause,Dale Saunders,Travel,In Stock,829,4,978-1-377-55220-0,135
B00010,P0010,Indicate history third,Andrew Hoffman,Science,In Stock,536,1,978-1-55966-574-2,619
B00011,P0011,Past gun win view thank,Edward Griffin,Romance,In Stock,973,1,978-0-224-43889-6,733
B00012,P0012,Local attention ask safe never sport,Robert Mitchell,Travel,Out of Stock,828,3,978-0-452-97096-0,331
B00013,P0013,Identify read plan during,Chris Gordon,Non-Fiction,Out of Stock,682,2,978-0-485-37043-0,24
B00014,P0014,Reach factor check,Martha Hayes,Children,Out of Stock,353,5,978-0-451-64841-9,153
B00015,P0015,Light book before,Michael Conner,Health,Out of Stock,735,5,978-0-7938-3967-4,810
B00016,P0016,Next model song while,Brandon Olsen,Non-Fiction,Out of Stock,334,1,978-1-76245-782-0,973
B00017,P0017,Fish send big she station different,Sheri Johnson,Mystery,In Stock,599,5,978-1-155-93302-3,379
B00018,P0018,Song receive brother purpose,Tonya Jacobs,Comics,Out of Stock,508,1,978-1-79262-761-3,80
B00019,P0019,Feel development culture marriage cell,Tammie Stanton,Cookbook,Out of Stock,934,5,978-0-542-55462-9,301
B00020,P0020,Just matter interesting a director technology,Kathleen Robinson,Philosophy,Out of Stock,405,5,978-0-549-99615-6,675
B00021,P0021,Fund boy wind anyone technology,Jason Buckley,Travel,In Stock,180,2,978-1-185-07128-3,67
B00022,P0022,Order beat well later support compare,Christina Potter,History,In Stock,147,5,978-1-83927-291-2,379
B00023,P0023,Throw look sound central at,James Gamble,Self-Help,In Stock,252,3,978-0-9712742-0-4,805
B00024,P0024,Sign media represent recently,Melissa Franklin,Non-Fiction,Out of Stock,825,2,978-0-14-472875-6,792
B00025,P0025,Important method share,Jim Green,Fiction,Out of Stock,211,1,978-1-140-26545-0,78
B00026,P0026,Girl say they nearly change,Michelle Duncan,Horror,In Stock,910,5,978-1-178-35057-9,241
B00027,P0027,Field receive every,Brittany Boyd,Fiction,In Stock,207,1,978-0-376-15207-7,483
B00028,P0028,Front shoulder campaign,Mary Moore,Health,In Stock,625,2,978-1-938323-07-2,478
B00029,P0029,Less early continue economic within week,Katherine Flynn,Education,Out of Stock,211,1,978-0-7041-9213-3,807
B00030,P0030,Us defense suggest break turn upon,Ryan Kim PhD,Comics,Out of Stock,76,4,978-1-189-80146-6,41
B00031,P0031,Bill instead impact word,Timothy Chapman,Adventure,In Stock,259,5,978-0-588-43569-2,2
B00032,P0032,Sense interview against option responsibility,Edward Howard,Mystery,In Stock,330,5,978-0-447-30987-4,370
B00033,P0033,Can eat science Mrs experience,Charles White,Travel,In Stock,209,3,978-1-934721-65-0,989
B00034,P0034,Stay finally hour,Jeanne Wang,Education,Out of Stock,85,5,978-0-322-33734-3,777
B00035,P0035,Think ask sure event,Brian Woods,Fantasy,In Stock,982,5,978-0-10-530433-3,256
B00036,P0036,Young carry language here assume third,Jason Graham,Cookbook,In Stock,156,4,978-1-59596-065-8,609
B00037,P0037,Senior stuff daughter list,Tammy White,Horror,In Stock,414,2,978-1-398-21889-5,367
B00038,P0038,Charge several remain agreement,Bailey Park,Cookbook,In Stock,154,5,978-1-67925-656-1,850
B00039,P0039,Four family bit court daughter,Kathryn Waters,Self-Help,Out of Stock,93,1,978-0-7979-5935-4,624
B00040,P0040,Whatever question tree might,Luis Mullins,Adventure,Out of Stock,150,2,978-1-212-55242-6,397
B00041,P0041,Power guess growth,Elizabeth Huerta,Poetry,Out of Stock,79,5,978-0-08-985878-5,807
B00042,P0042,Commercial property experience themselves board,Karina Barrera,Comics,In Stock,243,4,978-0-9577288-4-4,35
B00043,P0043,Region clearly purpose conference,Dennis Dennis,Science,Out of Stock,833,3,978-0-415-14225-0,522
B00044,P0044,Professional environment Congress,David Miranda,Cookbook,In Stock,301,2,978-1-77767-801-2,916
B00045,P0045,Girl seem like company,Kenneth Spencer,History,Out of Stock,335,2,978-0-07-099098-2,370
B00046,P0046,Reason also animal major leg,John Baldwin,Health,In Stock,600,4,978-0-8255-4765-2,196
B00047,P0047,Know set involve dinner wide,Michael Walker,History,In Stock,117,5,978-1-911355-89-2,445
B00048,P0048,However wrong last course agent,Matthew Anderson,Self-Help,Out of Stock,294,3,978-1-72580-344-2,584
B00049,P0049,Positive market bad,Michael Mccullough,Religion,Out of Stock,616,1,978-1-85612-151-4,235
B00050,P0050,Range field white,Vincent Thompson,Cookbook,Out of Stock,438,4,978-1-84455-191-0,652
B00051,P0051,Enter voice thus understand debate age,Amber Mccarthy,Non-Fiction,In Stock,331,2,978-0-590-83153-6,858
B00052,P0052,Best fight nature admit his,Michael Freeman,Children,Out of Stock,704,1,978-1-05-562873-9,836
B00053,P0053,Difficult public body,Taylor Ross,Biography,Out of Stock,254,5,978-1-267-35995-7,582
B00054,P0054,Suffer not say respond sing personal,Manuel King,Non-Fiction,In Stock,339,4,978-1-00-833049-8,307
B00055,P0055,Financial toward fast buy nation,Nicholas Bartlett,Horror,Out of Stock,603,3,978-1-167-83007-5,347
B00056,P0056,Foot course key special,Dennis Garcia,Romance,Out of Stock,799,4,978-0-7913-6301-0,769
B00057,P0057,Her there bar stage always minute,Ethan Kelly,Religion,Out of Stock,793,2,978-1-4905-3557-9,43
B00058,P0058,International hot certain me,George Hall,Health,In Stock,181,1,978-1-309-27644-0,883
B00059,P0059,Manager together when hundred near,Madison Williams,Poetry,In Stock,510,2,978-0-217-12188-0,349
B00060,P0060,Everything direction weight court peace,Kathryn Brown,Fantasy,In Stock,132,4,978-1-316-98220-4,871
B00061,P0061,Federal condition effect also,Philip Espinoza,Art,In Stock,79,5,978-0-214-14012-9,481
B00062,P0062,Require wear various all attorney,Dawn Rivers,Cookbook,Out of Stock,724,3,978-1-397-96261-4,809
B00063,P0063,News financial term,Joshua Romero,Cookbook,In Stock,214,4,978-0-89834-315-1,640
B00064,P0064,Day indeed believe company deal,Joshua Floyd,Children,In Stock,744,4,978-0-331-81579-5,63
B00065,P0065,Instead sell type network,Derek Gibbs,Fantasy,In Stock,947,4,978-0-324-77843-4,551
B00066,P0066,Why skin model brother rich,Shannon Walker,Comics,In Stock,419,4,978-1-321-56144-9,892
B00067,P0067,Certainly population Mr alone health grow study,Ruben Hernandez,Health,In Stock,258,5,978-1-245-61949-3,282
B00068,P0068,Or eat our position drive,Timothy Landry,Science,Out of Stock,817,2,978-1-961272-82-8,149
B00069,P0069,Husband road become worry,Amanda Bryant,Science,Out of Stock,409,1,978-0-636-16661-5,69
