Sales_ID,Book_ID,Date_ID,Publisher_ID,Price,Copies_Left,Discount_Offer,Rating
S0001,B00001,D1001,P0001,574.93,88,27% off,4.1
S0002,B00002,D1002,P0002,761.73,301,24% off,2.6
S0003,B00003,D1003,P0003,298.31,336,32% off,1.6
S0004,B00004,D1004,P0004,354.38,453,11% off,4.3
S0005,B00005,D1005,P0005,509.2,323,26% off,4.5
S0006,B00006,D1006,P0006,555.47,419,5% off,4.1
S0007,B00007,D1007,P0007,219.15,346,45% off,3.7
S0008,B00008,D1008,P0008,278.61,185,16% off,2.2
S0009,B00009,D1009,P0009,772.39,293,11% off,2.3
S0010,B00010,D1010,P0010,851.52,107,39% off,1.9
S0011,B00011,D1011,P0011,646.71,135,16% off,1.8
S0012,B00012,D1012,P0012,829.68,74,24% off,2.3
S0013,B00013,D1013,P0013,199.39,266,15% off,4.4
S0014,B00014,D1014,P0014,812.09,230,7% off,1.2
S0015,B00015,D1015,P0015,958.3,141,45% off,4.7
S0016,B00016,D1016,P0016,885.91,283,19% off,2.1
S0017,B00017,D1017,P0017,461.66,418,6% off,3.5
S0018,B00018,D1018,P0018,883.68,227,5% off,4.7
S0019,B00019,D1019,P0019,542.15,117,37% off,2.6
S0020,B00020,D1020,P0020,961.81,407,45% off,2.2
S0021,B00021,D1021,P0021,526.17,361,19% off,3.4
S0022,B00022,D1022,P0022,926.82,4,37% off,2.9
S0023,B00023,D1023,P0023,362.46,62,21% off,2.1
S0024,B00024,D1024,P0024,544.87,321,36% off,3.4
S0025,B00025,D1025,P0025,990.61,202,25% off,3.9
S0026,B00026,D1026,P0026,536.7,432,28% off,3.6
S0027,B00027,D1027,P0027,158,191,23% off,1.8
S0028,B00028,D1028,P0028,422.36,400,22% off,3.2
S0029,B00029,D1029,P0029,741.95,192,37% off,3.8
S0030,B00030,D1030,P0030,179.87,2,26% off,2.1
S0031,B00031,D1031,P0031,574.48,161,26% off,1.4
S0032,B00032,D1032,P0032,491.51,372,9% off,4.2
S0033,B00033,D1033,P0033,978.5,464,29% off,2.5
S0034,B00034,D1034,P0034,163.96,358,20% off,1.2
S0035,B00035,D1035,P0035,481.28,490,50% off,4.5
S0036,B00036,D1036,P0036,149.42,89,13% off,1.3
S0037,B00037,D1037,P0037,477.52,346,46% off,3.9
S0038,B00038,D1038,P0038,714.74,207,47% off,3.2
S0039,B00039,D1039,P0039,240.78,290,47% off,3.1
S0040,B00040,D1040,P0040,371.19,86,28% off,1.6
S0041,B00041,D1041,P0041,338.03,350,23% off,2.7
S0042,B00042,D1042,P0042,785.27,448,30% off,4.3
S0043,B00043,D1043,P0043,122.15,458,25% off,2.8
S0044,B00044,D1044,P0044,699.48,489,11% off,1.1
S0045,B00045,D1045,P0045,599.65,428,48% off,1.3
S0046,B00046,D1046,P0046,335.45,435,37% off,3.7
S0047,B00047,D1047,P0047,638.54,421,37% off,2.3
S0048,B00048,D1048,P0048,974.79,458,21% off,2.9
S0049,B00049,D1049,P0049,484.77,189,8% off,2.7
S0050,B00050,D1050,P0050,453.57,250,43% off,2.4
S0051,B00051,D1051,P0051,602.37,219,46% off,4.1
S0052,B00052,D1052,P0052,633.46,198,7% off,2.9
S0053,B00053,D1053,P0053,382.95,189,18% off,2.5
S0054,B00054,D1054,P0054,784.62,227,21% off,4.4
S0055,B00055,D1055,P0055,190.19,60,7% off,2.4
S0056,B00056,D1056,P0056,356.79,180,34% off,3.3
S0057,B00057,D1057,P0057,774.07,58,14% off,1.2
S0058,B00058,D1058,P0058,880.41,116,10% off,2.7
S0059,B00059,D1059,P0059,379.55,66,24% off,3.3
S0060,B00060,D1060,P0060,272.15,397,50% off,1.1
S0061,B00061,D1061,P0061,980.06,275,34% off,2.6
S0062,B00062,D1062,P0062,877.19,321,26% off,2
S0063,B00063,D1063,P0063,999.63,431,22% off,3.5
S0064,B00064,D1064,P0064,369.83,284,49% off,2.7
S0065,B00065,D1065,P0065,883.32,372,39% off,4.1
S0066,B00066,D1066,P0066,848.09,257,29% off,4.7
S0067,B00067,D1067,P0067,860.6,302,14% off,3.7
S0068,B00068,D1068,P0068,399.44,297,40% off,2
S0069,B00069,D1069,P0069,547.91,469,20% off,4.8
S0070,B00070,D1070,P0070,266.73,67,46% off,1.9
S0071,B00071,D1071,P0071,540.18,500,44% off,1.3
S0072,B00072,D1072,P0072,750.05,256,20% off,4.6
S0073,B00073,D1073,P0073,737.19,303,46% off,3.9
S0074,B00074,D1074,P0074,354.59,254,39% off,1.1
S0075,B00075,D1075,P0075,269.09,223,33% off,2.7
S0076,B00076,D1076,P0076,148.82,203,19% off,2.1
S0077,B00077,D1077,P0077,920.94,472,20% off,1.4
S0078,B00078,D1078,P0078,690.12,485,37% off,4.7
S0079,B00079,D1079,P0079,504.45,36,37% off,4.9
S0080,B00080,D1080,P0080,651.85,57,14% off,1.4
S0081,B00081,D1081,P0081,629.4,266,48% off,1.1
S0082,B00082,D1082,P0082,483.85,477,20% off,4
S0083,B00083,D1083,P0083,785.53,484,27% off,2.1
S0084,B00084,D1084,P0084,945.38,111,44% off,1.9
S0085,B00085,D1085,P0085,441.61,329,26% off,3.4
S0086,B00086,D1086,P0086,253.39,112,29% off,3.2
S0087,B00087,D1087,P0087,885.95,103,29% off,2.4
S0088,B00088,D1088,P0088,764.33,388,8% off,1.4
S0089,B00089,D1089,P0089,944.4,416,37% off,3.4
S0090,B00090,D1090,P0090,224.03,359,21% off,1.4
S0091,B00091,D1091,P0091,648.84,264,9% off,3.3
S0092,B00092,D1092,P0092,302.05,124,48% off,1.2
S0093,B00093,D1093,P0093,817.09,372,6% off,2.8
S0094,B00094,D1094,P0094,583.82,211,17% off,3.8
S0095,B00095,D1095,P0095,390.77,88,9% off,2
S0096,B00096,D1096,P0096,583.45,381,23% off,3.2
S0097,B00097,D1097,P0097,320.92,43,41% off,3.6
S0098,B00098,D1098,P0098,520.38,36,26% off,1.2
S0099,B00099,D1099,P0099,831.02,301,30% off,4.6
S0100,B00100,D1100,P0100,526.25,80,24% off,4.6
S0101,B00101,D1101,P0101,408.86,491,21% off,2.6
S0102,B00102,D1102,P0102,844.67,205,41% off,4.9
S0103,B00103,D1103,P0103,686.69,186,14% off,4
S0104,B00104,D1104,P0104,117.36,28,37% off,2.7
S0105,B00105,D1105,P0105,408.65,325,43% off,3.6
S0106,B00106,D1106,P0106,258.64,466,8% off,1.6
S0107,B00107,D1107,P0107,475.35,400,5% off,1.4
S0108,B00108,D1108,P0108,816.57,327,20% off,3.5
S0109,B00109,D1109,P0109,432.37,27,24% off,2
S0110,B00110,D1110,P0110,743.55,294,42% off,1.1
S0111,B00111,D1111,P0111,989.66,72,24% off,2.5
S0112,B00112,D1112,P0112,315.75,391,11% off,1.5
S0113,B00113,D1113,P0113,223.84,485,46% off,1.2
S0114,B00114,D1114,P0114,113.62,166,20% off,1.1
S0115,B00115,D1115,P0115,204.14,28,43% off,2.3
S0116,B00116,D1116,P0116,254.5,31,35% off,4.6
S0117,B00117,D1117,P0117,794.96,395,19% off,4.5
S0118,B00118,D1118,P0118,639.68,329,44% off,1.7
S0119,B00119,D1119,P0119,510.51,65,18% off,1.3
S0120,B00120,D1120,P0120,832.89,181,10% off,3.7
S0121,B00121,D1121,P0121,808.84,297,12% off,2.2
S0122,B00122,D1122,P0122,249.44,127,10% off,4.3
S0123,B00123,D1123,P0123,750.5,211,26% off,1.9
S0124,B00124,D1124,P0124,644.69,138,50% off,4.5
S0125,B00125,D1125,P0125,600.76,470,18% off,3.6
S0126,B00126,D1126,P0126,401.39,106,31% off,4.3
S0127,B00127,D1127,P0127,269.92,228,33% off,2.1
S0128,B00128,D1128,P0128,580.04,193,35% off,4.6
S0129,B00129,D1129,P0129,905.61,338,21% off,4
S0130,B00130,D1130,P0130,144.94,420,6% off,3
S0131,B00131,D1131,P0131,788.24,369,7% off,1.1
S0132,B00132,D1132,P0132,265.31,102,5% off,1.7
S0133,B00133,D1133,P0133,837.52,109,19% off,4.9
S0134,B00134,D1134,P0134,463.28,235,17% off,2.7
S0135,B00135,D1135,P0135,395.5,263,9% off,2.8
S0136,B00136,D1136,P0136,117.84,182,7% off,1.7
S0137,B00137,D1137,P0137,400.74,25,29% off,3.6
S0138,B00138,D1138,P0138,917.74,203,30% off,3.5
S0139,B00139,D1139,P0139,194.61,173,7% off,2.7
S0140,B00140,D1140,P0140,449.78,448,6% off,3.4
S0141,B00141,D1141,P0141,610.88,176,30% off,4.5
S0142,B00142,D1142,P0142,781.59,385,31% off,3.6
S0143,B00143,D1143,P0143,729.91,368,31% off,5
S0144,B00144,D1144,P0144,318.97,278,28% off,1.2
S0145,B00145,D1145,P0145,564.95,254,9% off,1.1
S0146,B00146,D1146,P0146,325.2,98,20% off,1.6
S0147,B00147,D1147,P0147,388.64,234,9% off,3.1
S0148,B00148,D1148,P0148,343.03,234,34% off,3.9
S0149,B00149,D1149,P0149,979.77,293,45% off,3.4
S0150,B00150,D1150,P0150,353.34,217,9% off,3
S0151,B00151,D1151,P0151,305.32,412,6% off,4
S0152,B00152,D1152,P0152,359.71,111,10% off,3.4
S0153,B00153,D1153,P0153,586.31,54,10% off,1.2
S0154,B00154,D1154,P0154,287.5,42,27% off,4.7
S0155,B00155,D1155,P0155,249.94,210,34% off,2
S0156,B00156,D1156,P0156,736.01,114,21% off,2.4
S0157,B00157,D1157,P0157,888.03,353,26% off,3.2
S0158,B00158,D1158,P0158,774.01,36,23% off,2.9
S0159,B00159,D1159,P0159,585.95,431,29% off,2.6
S0160,B00160,D1160,P0160,203.01,463,32% off,4.8
S0161,B00161,D1161,P0161,664.93,453,36% off,3.3
S0162,B00162,D1162,P0162,461.97,141,39% off,3.6
S0163,B00163,D1163,P0163,260.23,314,41% off,1.3
S0164,B00164,D1164,P0164,780.31,309,24% off,4.8
S0165,B00165,D1165,P0165,803.36,375,10% off,3.4
S0166,B00166,D1166,P0166,398.81,294,18% off,1.2
S0167,B00167,D1167,P0167,190.01,467,15% off,3.5
S0168,B00168,D1168,P0168,505.66,245,45% off,2.4
S0169,B00169,D1169,P0169,694.26,115,31% off,2.5
S0170,B00170,D1170,P0170,486.68,40,6% off,1.9
S0171,B00171,D1171,P0171,200.05,442,30% off,4.7
S0172,B00172,D1172,P0172,995.44,322,27% off,2.3
S0173,B00173,D1173,P0173,453.45,395,15% off,3
S0174,B00174,D1174,P0174,393.17,70,45% off,2.1
S0175,B00175,D1175,P0175,475.52,1,16% off,1.1
S0176,B00176,D1176,P0176,516.23,125,32% off,3.8
S0177,B00177,D1177,P0177,446.06,318,26% off,2.5
S0178,B00178,D1178,P0178,324.08,368,45% off,1.9
S0179,B00179,D1179,P0179,131.3,290,6% off,3.8
S0180,B00180,D1180,P0180,294.89,51,7% off,1.1
S0181,B00181,D1181,P0181,617.58,42,26% off,3.7
S0182,B00182,D1182,P0182,793.46,126,20% off,2.5
S0183,B00183,D1183,P0183,723.45,124,39% off,1.1
S0184,B00184,D1184,P0184,667.01,311,50% off,3.7
S0185,B00185,D1185,P0185,414.74,353,14% off,1
S0186,B00186,D1186,P0186,730.95,67,39% off,2.6
S0187,B00187,D1187,P0187,238.15,30,17% off,2.5
S0188,B00188,D1188,P0188,855.03,407,49% off,2
S0189,B00189,D1189,P0189,549.3,245,38% off,3.5
S0190,B00190,D1190,P0190,838.41,267,38% off,2.9
S0191,B00191,D1191,P0191,506.59,7,36% off,1.9
S0192,B00192,D1192,P0192,667.68,13,12% off,2.2
S0193,B00193,D1193,P0193,550.51,69,24% off,1.5
S0194,B00194,D1194,P0194,160.04,24,45% off,3.4
S0195,B00195,D1195,P0195,163.7,66,17% off,3.2
S0196,B00196,D1196,P0196,970.85,252,19% off,4.1
S0197,B00197,D1197,P0197,426.91,344,43% off,2.1
S0198,B00198,D1198,P0198,830.61,161,20% off,3.3
S0199,B00199,D1199,P0199,670.88,140,18% off,3.6
S0200,B00200,D1200,P0200,105.94,242,35% off,1.7
S0201,B00201,D1201,P0201,226.64,161,49% off,4.7
S0202,B00202,D1202,P0202,889.59,19,5% off,3.7
S0203,B00203,D1203,P0203,526.78,70,49% off,2.6
