Date_ID,Sales_Date,Day,Month,Quarter,Year,Weekday
D1001,15-07-2025,15,7,Q3,2025,Tuesday
D1002,23-07-2025,23,7,Q3,2025,Wednesday
D1003,14-09-2024,14,9,Q3,2024,Saturday
D1004,21-01-2025,21,1,Q1,2025,Tuesday
D1005,08-06-2024,8,6,Q2,2024,Saturday
D1006,25-04-2025,25,4,Q2,2025,Friday
D1007,03-01-2025,3,1,Q1,2025,Friday
D1008,25-08-2025,25,8,Q3,2025,Monday
D1009,07-06-2025,7,6,Q2,2025,Saturday
D1010,04-06-2024,4,6,Q2,2024,Tuesday
D1011,22-04-2024,22,4,Q2,2024,Monday
D1012,14-07-2025,14,7,Q3,2025,Monday
D1013,30-05-2024,30,5,Q2,2024,Thursday
D1014,30-01-2025,30,1,Q1,2025,Thursday
D1015,09-12-2023,9,12,Q4,2023,Saturday
D1016,02-07-2024,2,7,Q3,2024,Tuesday
D1017,28-04-2024,28,4,Q2,2024,Sunday
D1018,16-10-2024,16,10,Q4,2024,Wednesday
D1019,07-11-2024,7,11,Q4,2024,Thursday
D1020,21-04-2024,21,4,Q2,2024,Sunday
D1021,23-09-2025,23,9,Q3,2025,Tuesday
D1022,06-11-2024,6,11,Q4,2024,Wednesday
D1023,23-08-2024,23,8,Q3,2024,Friday
D1024,26-08-2024,26,8,Q3,2024,Monday
D1025,27-03-2024,27,3,Q1,2024,Wednesday
D1026,11-06-2025,11,6,Q2,2025,Wednesday
D1027,11-06-2025,11,6,Q2,2025,Wednesday
D1028,29-05-2025,29,5,Q2,2025,Thursday
D1029,02-06-2024,2,6,Q2,2024,Sunday
D1030,21-05-2025,21,5,Q2,2025,Wednesday
D1031,03-04-2025,3,4,Q2,2025,Thursday
D1032,09-06-2025,9,6,Q2,2025,Monday
D1033,17-12-2024,17,12,Q4,2024,Tuesday
D1034,12-12-2024,12,12,Q4,2024,Thursday
D1035,05-05-2025,5,5,Q2,2025,Monday
D1036,10-04-2024,10,4,Q2,2024,Wednesday
D1037,18-02-2024,18,2,Q1,2024,Sunday
D1038,11-09-2024,11,9,Q3,2024,Wednesday
D1039,04-04-2024,4,4,Q2,2024,Thursday
