Publisher_ID,Publication
P0001,Oxford Press
P0002,Cengage
P0003,Hachette
P0004,Macmillan
P0005,Routledge
P0006,Macmillan
P0007,Cengage
P0008,Thames & Hudson
P0009,McGraw-Hill
P0010,Pearson
P0011,Taschen
P0012,Scholastic
P0013,Springer
P0014,Bloomsbury
P0015,DK
P0016,Hachette
P0017,DK
P0018,Penguin
P0019,Oxford Press
P0020,Scholastic
P0021,Pearson
P0022,Pearson
P0023,Penguin
P0024,Cambridge Press
P0025,Hachette
P0026,Cengage
P0027,Scholastic
P0028,Simon & Schuster
P0029,HarperCollins
P0030,Cambridge Press
P0031,Scholastic
P0032,Macmillan
P0033,Routledge
P0034,Thames & Hudson
P0035,Random House
P0036,Hachette
P0037,Taschen
P0038,Macmillan
P0039,Random House
P0040,Hachette
P0041,Oxford Press
P0042,Thames & Hudson
P0043,Hachette
P0044,DK
P0045,Simon & Schuster
P0046,Hachette
P0047,Scholastic
P0048,Oxford Press
P0049,Springer
P0050,Routledge
P0051,Wiley
P0052,Springer
P0053,Thames & Hudson
P0054,Scholastic
P0055,DK
P0056,Springer
P0057,Cengage
P0058,Macmillan
P0059,Cengage
P0060,Penguin
P0061,Cambridge Press
P0062,Random House
P0063,Bloomsbury
P0064,Taschen
P0065,Cambridge Press
P0066,Macmillan
P0067,Cengage
P0068,Springer
P0069,Cambridge Press
P0070,Oxford Press
P0071,Cambridge Press
P0072,McGraw-Hill
P0073,Bloomsbury
P0074,Scholastic
P0075,Routledge
P0076,Penguin
P0077,Simon & Schuster
P0078,Springer
P0079,Simon & Schuster
P0080,Springer
P0081,Routledge
P0082,Oxford Press
P0083,Simon & Schuster
P0084,Hachette
P0085,HarperCollins
P0086,DK
P0087,Simon & Schuster
P0088,Pearson
P0089,Simon & Schuster
P0090,Wiley
P0091,Simon & Schuster
P0092,Penguin
P0093,Hachette
P0094,HarperCollins
P0095,Thames & Hudson
P0096,Wiley
P0097,Cambridge Press
P0098,DK
P0099,Penguin
P0100,Thames & Hudson
P0101,Pearson
P0102,Hachette
P0103,Thames & Hudson
P0104,Pearson
P0105,Bloomsbury
P0106,Simon & Schuster
P0107,Scholastic
P0108,Thames & Hudson
P0109,Random House
P0110,Scholastic
P0111,HarperCollins
P0112,Routledge
P0113,Oxford Press
P0114,DK
P0115,Wiley
P0116,Bloomsbury
P0117,Springer
P0118,McGraw-Hill
P0119,McGraw-Hill
P0120,Taschen
P0121,Taschen
P0122,Oxford Press
P0123,Scholastic
P0124,Penguin
P0125,Simon & Schuster
P0126,Routledge
P0127,McGraw-Hill
P0128,Wiley
P0129,Macmillan
P0130,Penguin
P0131,SAGE
P0132,Thames & Hudson
P0133,Pearson
P0134,Springer
P0135,Oxford Press
P0136,Scholastic
P0137,SAGE
P0138,Taschen
P0139,Bloomsbury
P0140,HarperCollins
P0141,Bloomsbury
P0142,Oxford Press
